Fact_Budgets_PK,Season,Season_FK,Flowtype,Budget_sub_category,Fundig_Source,Budget_date,Budget_date_FK,Amount,Scouts_origin,Participants_Camp_by_season,Duration_Days_Camp_by_season,scd_start,scd_end,scd_version,scd_active
71,2024-2025,2,Cash,Transport,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,35,0
72,2024-2025,2,Cash,Food,Expenditure,19-08-2024,20240819,2700,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,36,0
73,2024-2025,2,Cash,Different,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,37,0
74,2024-2025,2,Cash,Medias,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,38,0
75,2024-2025,2,Cash,Insurance And Treatment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,39,0
76,2024-2025,2,Cash,Salaries,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,40,0
77,2024-2025,2,Cash,Educational Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,41,0
78,2024-2025,2,Cash,Trips,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,42,0
79,2024-2025,2,Cash,Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,43,0
80,2024-2025,2,Cash,Transport,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,44,0
81,2024-2025,2,Cash,Food,Expenditure,19-08-2024,20240819,20000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,45,0
82,2024-2025,2,Cash,Different,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,46,0
83,2024-2025,2,Cash,Medias,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,47,0
84,2024-2025,2,Cash,Insurance And Treatment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,48,0
85,2024-2025,2,Cash,Salaries,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,49,0
86,2024-2025,2,Cash,Educational Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,50,0
87,2024-2025,2,Cash,Trips,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,51,0
88,2024-2025,2,Cash,Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,52,0
89,2024-2025,2,Cash,Transport,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,53,0
90,2024-2025,2,Cash,Food,Expenditure,19-08-2024,20240819,43721,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,54,1
91,2024-2025,2,Cash,Different,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
92,2024-2025,2,Cash,Medias,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
93,2024-2025,2,Cash,Insurance And Treatment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
94,2024-2025,2,Cash,Salaries,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
95,2024-2025,2,Cash,Educational Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
96,2024-2025,2,Cash,Trips,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
97,2024-2025,2,Cash,Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
98,2024-2025,2,Cash,Transport,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
99,2024-2025,2,Cash,Food,Expenditure,20-08-2024,20240820,2401,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,9,0
100,2024-2025,2,Cash,Different,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,10,0
101,2024-2025,2,Cash,Medias,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,11,0
102,2024-2025,2,Cash,Insurance And Treatment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,12,0
103,2024-2025,2,Cash,Salaries,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,13,0
104,2024-2025,2,Cash,Educational Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,14,0
105,2024-2025,2,Cash,Trips,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,15,0
106,2024-2025,2,Cash,Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,16,0
107,2024-2025,2,Cash,Transport,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,17,0
108,2024-2025,2,Cash,Food,Expenditure,20-08-2024,20240820,4086,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,18,0
109,2024-2025,2,Cash,Different,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,19,0
110,2024-2025,2,Cash,Medias,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,20,0
111,2024-2025,2,Cash,Insurance And Treatment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,21,0
112,2024-2025,2,Cash,Salaries,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,22,0
113,2024-2025,2,Cash,Educational Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,23,0
114,2024-2025,2,Cash,Trips,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,24,0
115,2024-2025,2,Cash,Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,25,0
116,2024-2025,2,Cash,Transport,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,26,0
117,2024-2025,2,Cash,Food,Expenditure,20-08-2024,20240820,8850,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,27,0
118,2024-2025,2,Cash,Different,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,28,0
119,2024-2025,2,Cash,Medias,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,29,0
120,2024-2025,2,Cash,Insurance And Treatment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,30,0
121,2024-2025,2,Cash,Salaries,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,31,0
122,2024-2025,2,Cash,Educational Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,32,0
123,2024-2025,2,Cash,Trips,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,33,0
124,2024-2025,2,Cash,Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,34,0
